# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​),Corrective moment Coefficient ()
0,0,0,0,0,90,0,2943.655,0.327,NaN,67.547,NaN,0,0,0.755,NaN,NaN
0.01,8.854e-4,0.282,0.282,62.931,81.995,0,2942.564,0.327,NaN,67.536,NaN,213.993,5.803e-5,0.754,NaN,NaN
0.016,0.004,0.791,0.791,106.591,68.49,0,2941.91,0.327,NaN,67.529,NaN,342.389,0.001,0.747,NaN,NaN
0.025,0.015,1.731,1.731,102.321,49.226,0,2940.078,0.326,NaN,67.511,NaN,329.629,0.008,0.723,NaN,NaN
0.035,0.038,2.73,2.73,97.568,36.323,0,2938.041,0.326,NaN,67.49,NaN,315.452,0.022,0.698,NaN,NaN
0.045,0.07,3.682,3.682,92.808,28.612,0,2936.005,0.326,NaN,67.469,NaN,301.274,0.041,0.677,NaN,NaN
0.048,0.081,3.958,3.958,91.378,26.909,0,2935.394,0.326,NaN,67.463,NaN,297.021,0.047,0.672,NaN,NaN
0.052,0.1,4.371,4.371,91.871,24.606,0,2934.516,0.326,NaN,67.454,NaN,298.388,0.056,0.665,NaN,NaN
0.059,0.132,4.993,4.993,92.61,21.639,0,2933.198,0.326,NaN,67.441,NaN,300.439,0.072,0.655,NaN,NaN
0.069,0.186,5.925,5.925,93.706,18.22,0,2931.245,0.326,NaN,67.421,NaN,303.477,0.097,0.642,NaN,NaN
0.079,0.25,6.867,6.867,94.803,15.617,0,2929.293,0.325,NaN,67.401,NaN,306.515,0.124,0.632,NaN,NaN
0.089,0.324,7.821,7.821,95.901,13.579,0,2927.34,0.325,NaN,67.381,NaN,309.552,0.152,0.622,NaN,NaN
0.099,0.407,8.785,8.785,97,11.944,0,2925.387,0.325,NaN,67.362,NaN,312.59,0.183,0.614,NaN,NaN
0.111,0.517,9.933,9.933,98.291,10.551,0,2923.093,0.325,NaN,67.338,NaN,316.16,0.222,0.606,NaN,NaN
0.121,0.621,10.919,10.919,99.02,9.588,0,2921.041,0.325,NaN,67.317,NaN,318.104,0.258,0.6,NaN,NaN
0.13,0.725,11.829,11.829,99.687,8.839,0,2919.162,0.324,NaN,67.298,NaN,319.884,0.295,0.596,NaN,NaN
0.139,0.829,12.674,12.674,100.303,8.238,0,2917.427,0.324,NaN,67.28,NaN,321.527,0.333,0.596,NaN,NaN
0.147,0.932,13.468,13.468,100.877,7.74,0,2915.808,0.324,NaN,67.263,NaN,323.061,0.371,0.596,NaN,NaN
0.154,1.034,14.219,14.219,101.417,7.362,0,2914.285,0.324,80.754,67.248,1.715,324.504,0.409,0.596,1.835,1.163
0.165,1.199,15.353,15.353,102.226,6.895,0.334,2911.999,0.324,80.965,67.224,1.745,326.668,0.471,0.596,1.7,1.365
0.173,1.324,16.167,16.167,102.803,6.596,0.604,2910.371,0.323,81.103,67.208,1.765,328.211,0.518,0.596,1.615,1.519
0.185,1.524,17.39,17.39,102.773,6.194,1.062,2907.885,0.323,81.292,67.182,1.792,327.92,0.593,0.596,1.502,1.768
0.202,1.836,19.147,19.147,102.728,5.683,1.841,2904.315,0.323,81.539,67.145,1.828,327.502,0.71,0.596,1.361,2.159
0.228,2.361,21.774,21.774,102.124,4.931,3.306,2899.007,0.322,81.916,67.09,1.883,325.345,0.901,0.596,1.159,2.823
0.261,3.144,25.167,25.167,101.325,4.077,5.571,2892.102,0.322,82.363,67.018,1.949,322.54,1.182,0.596,0.938,3.82
0.284,3.756,27.509,27.509,100.259,3.493,6.798,2887.407,0.321,82.682,66.969,1.996,319.155,1.396,0.597,0.792,4.604
0.319,4.776,30.976,30.976,98.642,2.841,8.554,2880.365,0.32,83.052,66.895,2.052,314.078,1.751,0.597,0.633,5.901
0.334,5.248,32.441,32.441,97.943,2.62,9.347,2877.354,0.32,83.181,66.863,2.072,311.907,1.915,0.597,0.581,6.499
0.356,5.998,34.63,34.63,97.95,2.307,10.569,2872.924,0.32,83.367,66.816,2.102,311.714,2.173,0.597,0.507,7.449
0.39,7.214,37.914,37.914,97.944,1.878,12.446,2866.278,0.319,83.628,66.746,2.144,311.424,2.593,0.597,0.408,9.004
0.425,8.618,41.382,41.382,97.916,1.335,14.451,2859.259,0.318,83.967,66.671,2.197,311.118,3.075,0.598,0.286,10.828
0.461,10.142,44.842,44.842,97.86,0.787,16.441,2852.255,0.318,84.321,66.596,2.251,310.812,3.6,0.598,0.166,12.833
0.498,11.885,48.497,48.498,97.767,0.266,18.51,2844.85,0.317,84.668,66.517,2.305,310.489,4.206,0.599,0.055,15.151
0.535,13.722,52.062,52.065,97.483,0.333,20.485,2837.653,0.316,84.631,66.439,2.31,309.742,4.851,0.599,0.069,17.538
0.572,15.742,55.711,55.717,97.155,0.825,22.456,2830.264,0.315,84.318,66.358,2.281,308.976,5.569,0.6,0.174,20.111
0.602,17.456,58.62,58.629,96.876,1.118,23.993,2824.355,0.315,84.138,66.294,2.266,308.363,6.18,0.6,0.238,22.313
0.641,19.844,62.439,62.454,96.689,1.365,25.965,2816.615,0.314,83.991,66.209,2.258,308.091,7.031,0.601,0.293,25.414
0.677,22.153,65.914,65.937,96.536,1.373,27.72,2809.557,0.313,83.996,66.131,2.269,307.844,7.845,0.601,0.295,28.473
0.705,24.007,68.574,68.604,96.439,1.262,29.041,2804.15,0.312,84.072,66.071,2.286,307.654,8.492,0.602,0.271,30.969
0.737,26.249,71.662,71.7,96.759,1.024,30.549,2797.857,0.312,84.231,66.001,2.315,308.588,9.27,0.603,0.218,34.042
0.773,28.878,75.135,75.182,97.131,0.733,32.217,2790.806,0.311,84.428,65.922,2.35,309.635,10.186,0.603,0.155,37.698
0.802,31.114,77.977,78.031,97.439,0.461,33.56,2785.056,0.31,84.613,65.858,2.382,310.489,10.969,0.604,0.097,40.856
0.846,34.613,82.234,82.297,97.439,0.099,35.548,2776.417,0.309,84.867,65.76,2.427,310.489,12.21,0.605,0.021,45.845
0.89,38.345,86.542,86.612,97.38,0.479,37.531,2767.672,0.308,84.629,65.661,2.409,310.489,13.547,0.606,0.101,50.984
0.902,39.399,87.719,87.791,97.352,0.554,38.068,2765.281,0.308,84.584,65.633,2.407,310.489,13.926,0.606,0.117,52.451
0.92,41.006,89.482,89.555,97.018,0.648,38.87,2761.719,0.308,84.53,65.593,2.405,309.702,14.503,0.607,0.137,54.696
0.947,43.476,92.114,92.19,96.495,0.711,40.06,2756.376,0.307,84.498,65.531,2.409,308.521,15.384,0.607,0.151,58.176
0.977,46.273,94.99,95.068,95.895,0.693,41.352,2750.505,0.307,84.521,65.464,2.42,307.224,16.373,0.608,0.147,62.15
1,48.46,97.167,97.247,95.418,0.601,42.323,2746.035,0.306,84.589,65.412,2.435,306.236,17.139,0.608,0.127,65.291
1.025,50.919,99.599,99.681,99.137,0.44,43.381,2741.074,0.305,84.704,65.354,2.457,316.869,18.013,0.609,0.093,68.927
1.057,54.157,102.722,102.809,96.062,0.169,44.74,2734.696,0.305,84.896,65.28,2.491,309.072,19.173,0.61,0.035,73.795
1.1,58.662,106.84,106.934,95.439,0.2,46.533,2726.241,0.304,84.892,65.181,2.503,308.363,20.777,0.611,0.042,80.346
1.139,62.902,110.621,110.725,98.453,0.489,48.133,2718.468,0.303,84.718,65.09,2.493,317.578,22.321,0.612,0.104,86.537
1.168,66.154,113.451,113.564,96.607,0.548,49.326,2712.69,0.302,84.692,65.021,2.498,313.215,23.511,0.613,0.116,91.424
1.193,68.986,115.819,115.94,95.072,0.482,50.328,2707.771,0.302,84.746,64.963,2.513,309.5,24.523,0.614,0.102,95.694
1.205,70.415,116.981,117.106,94.318,0.425,50.819,2705.327,0.301,84.789,64.934,2.522,307.654,25.027,0.614,0.09,97.846
1.223,72.585,118.714,118.845,93.952,0.322,51.545,2701.74,0.301,84.865,64.891,2.537,306.952,25.786,0.615,0.068,101.113
1.251,75.899,121.302,121.44,93.415,0.115,52.615,2696.36,0.3,85.015,64.826,2.564,305.899,26.943,0.616,0.024,106.136
1.292,81.005,125.155,125.301,92.591,0.255,54.186,2688.289,0.299,84.942,64.729,2.567,304.32,28.735,0.617,0.054,113.649
1.298,81.699,125.668,125.814,92.475,0.293,54.393,2687.21,0.299,84.919,64.716,2.566,304.109,28.979,0.617,0.062,114.662
1.306,82.746,126.44,126.587,93.394,0.335,54.703,2685.569,0.299,84.895,64.696,2.565,306.743,29.347,0.618,0.071,116.206
1.319,84.329,127.612,127.761,94.764,0.377,55.166,2683.108,0.299,84.874,64.666,2.566,310.695,29.911,0.618,0.08,118.584
1.336,86.542,129.261,129.412,96.645,0.395,55.809,2679.704,0.298,84.871,64.625,2.571,316.16,30.71,0.619,0.084,121.998
1.362,89.916,131.724,131.877,93.931,0.358,56.775,2674.633,0.298,84.908,64.563,2.584,309.575,31.923,0.619,0.076,127.24
1.39,93.607,134.29,134.446,90.985,0.245,57.793,2669.19,0.297,84.996,64.497,2.603,302.506,33.212,0.62,0.052,132.898
1.4,95.008,135.231,135.388,89.871,0.182,58.165,2667.149,0.297,85.043,64.472,2.613,299.856,33.691,0.621,0.038,135.026
1.416,97.129,136.63,136.79,89.465,0.07,58.715,2664.187,0.297,85.126,64.435,2.628,299.303,34.412,0.621,0.015,138.234
1.439,100.352,138.716,138.881,88.841,0.121,59.523,2659.744,0.296,85.104,64.38,2.632,298.474,35.508,0.622,0.026,142.981
1.474,105.276,141.819,141.993,87.912,0.285,60.705,2653.079,0.295,85.013,64.298,2.631,297.229,37.18,0.623,0.061,150.183
1.5,108.976,144.086,144.268,87.264,0.293,61.559,2648.165,0.295,85.021,64.237,2.64,296.312,38.425,0.624,0.062,155.658
1.528,113.038,146.527,146.717,87.419,0.224,62.463,2642.871,0.294,85.082,64.171,2.656,297.501,39.782,0.625,0.047,161.738
1.55,116.29,148.456,148.652,87.564,0.111,63.168,2638.695,0.294,85.168,64.119,2.673,298.438,40.871,0.626,0.023,166.676
1.583,121.247,151.386,151.589,89.62,0.118,64.215,2632.32,0.293,85.182,64.038,2.685,304.69,42.565,0.627,0.025,174.245
1.595,123.06,152.46,152.664,90.35,0.179,64.594,2630.02,0.293,85.148,64.009,2.685,306.945,43.197,0.628,0.038,177.031
1.613,125.803,154.057,154.264,88.17,0.241,65.16,2626.586,0.292,85.117,63.966,2.686,301.74,44.147,0.628,0.051,181.248
1.634,129.073,155.89,156.1,85.576,0.252,65.815,2622.537,0.292,85.122,63.915,2.693,295.603,45.247,0.629,0.054,186.213
1.652,131.893,157.378,157.589,79.667,0.208,66.353,2619.234,0.291,85.16,63.873,2.704,280.716,46.147,0.63,0.044,190.334
1.679,136.171,159.463,159.679,74.836,0.09,67.107,2614.644,0.291,85.253,63.814,2.723,269.053,47.425,0.631,0.019,196.238
1.716,142.121,162.11,162.331,68.188,0.139,68.045,2608.355,0.29,85.238,63.734,2.731,253.07,49.08,0.632,0.03,203.821
1.743,146.521,163.795,164.023,56.709,0.235,68.658,2604.253,0.289,85.186,63.681,2.731,224.006,50.152,0.633,0.05,208.717
1.772,151.229,165.221,165.455,42.948,0.202,69.201,2600.811,0.289,85.218,63.636,2.741,188.781,51.058,0.633,0.043,212.967
1.8,155.935,166.248,166.487,29.407,0.065,69.613,2597.395,0.289,85.316,63.592,2.759,153.827,51.707,0.634,0.014,216.225
1.843,163.036,167.179,167.42,14.343,0.162,70.003,2594.463,0.288,85.258,63.554,2.756,114.885,52.292,0.634,0.035,218.99
1.882,169.636,167.47,167.711,0.446,0.214,70.18,2591.748,0.288,85.226,63.519,2.757,78.827,52.459,0.634,0.046,219.991
1.9,172.647,167.421,167.661,-5.883,0.164,70.203,2590.51,0.288,85.258,63.503,2.763,62.381,52.411,0.634,0.035,219.983
1.927,177.161,167.179,167.419,-12.094,0.029,70.17,2589.798,0.288,85.346,63.494,2.775,46.264,52.221,0.634,0.006,219.383
1.967,183.913,166.502,166.744,-21.314,0.214,70.007,2588.729,0.287,85.219,63.48,2.761,22.087,51.747,0.634,0.046,217.402
1.97,184.339,166.447,166.689,-21.891,0.218,69.993,2588.661,0.287,85.216,63.479,2.761,20.558,51.709,0.634,0.047,217.247
1.973,184.755,166.376,166.617,-29.796,0.221,69.979,2588.655,0.287,85.214,63.479,2.76,0,51.66,0.634,0.047,217.041
1.976,185.379,166.264,166.506,-29.767,0.223,69.955,2588.655,0.287,85.212,63.479,2.76,0,51.584,0.634,0.048,216.718
1.982,186.314,166.097,166.339,-29.723,0.221,69.915,2588.655,0.287,85.211,63.479,2.76,0,51.47,0.634,0.047,216.238
1.99,187.714,165.846,166.089,-29.652,0.21,69.849,2588.655,0.287,85.217,63.479,2.761,0,51.298,0.634,0.045,215.526
2.003,189.811,165.472,165.715,-29.534,0.168,69.74,2588.655,0.287,85.242,63.479,2.764,0,51.041,0.633,0.036,214.478
2.022,192.947,164.913,165.156,-29.339,0.054,69.569,2588.655,0.287,85.315,63.479,2.773,0,50.662,0.633,0.011,212.947
2.05,197.631,164.082,164.323,-29.058,0.124,69.305,2588.655,0.287,85.262,63.479,2.766,0,50.107,0.633,0.027,210.545
2.093,204.614,162.848,163.086,-28.732,0.167,68.903,2588.655,0.287,85.225,63.479,2.762,0,49.278,0.632,0.036,207.037
2.136,211.517,161.631,161.867,-28.462,0.045,68.504,2588.655,0.287,85.298,63.479,2.771,0,48.467,0.632,0.01,203.705
2.186,219.563,160.215,160.451,-28.155,0.115,68.037,2588.655,0.287,85.242,63.479,2.764,0,47.544,0.631,0.025,199.762
2.236,227.539,158.816,159.052,-27.795,0.096,67.573,2588.655,0.287,85.246,63.479,2.764,0,46.64,0.63,0.02,195.961
2.286,235.445,157.436,157.67,-27.413,0.044,67.11,2588.655,0.287,85.271,63.479,2.768,0,45.757,0.63,0.009,192.266
2.336,243.283,156.075,156.306,-27.065,0.109,66.65,2588.655,0.287,85.219,63.479,2.761,0,44.897,0.629,0.023,188.601
2.386,251.053,154.729,154.959,-26.773,0.024,66.191,2588.655,0.287,85.268,63.479,2.767,0,44.05,0.629,0.005,185.094
2.436,258.756,153.397,153.627,-26.474,0.084,65.734,2588.655,0.287,85.219,63.479,2.761,0,43.227,0.628,0.018,181.597
2.486,266.393,152.082,152.311,-26.153,0.064,65.279,2588.655,0.287,85.224,63.479,2.762,0,42.419,0.628,0.014,178.218
2.536,273.964,150.782,151.01,-25.819,0.052,64.827,2588.655,0.287,85.224,63.479,2.762,0,41.633,0.627,0.011,174.913
2.586,281.471,149.499,149.725,-25.523,0.076,64.377,2588.655,0.287,85.2,63.479,2.759,0,40.862,0.627,0.016,171.666
2.636,288.914,148.23,148.454,-25.251,0.022,63.929,2588.655,0.287,85.228,63.479,2.762,0,40.109,0.626,0.005,168.526
2.686,296.294,146.974,147.197,-24.969,0.043,63.486,2588.655,0.287,85.207,63.479,2.759,0,39.377,0.626,0.009,165.424
2.736,303.612,145.733,145.955,-24.691,0.051,63.045,2588.655,0.287,85.194,63.479,2.758,0,38.661,0.625,0.011,162.394
2.786,310.868,144.505,144.726,-24.424,0.02,62.605,2588.655,0.287,85.208,63.479,2.76,0,37.956,0.625,0.004,159.448
2.836,318.063,143.29,143.511,-24.166,0.063,62.165,2588.655,0.287,85.172,63.479,2.755,0,37.264,0.624,0.013,156.532
2.886,325.197,142.089,142.309,-23.877,0.056,61.73,2588.655,0.287,85.169,63.479,2.755,0,36.594,0.624,0.012,153.702
2.936,332.272,140.902,141.12,-23.622,0.049,61.298,2588.655,0.287,85.167,63.479,2.754,0,35.934,0.623,0.01,150.932
2.986,339.287,139.726,139.943,-23.392,0.044,60.867,2588.655,0.287,85.164,63.479,2.754,0,35.287,0.623,0.009,148.218
3.036,346.245,138.562,138.779,-23.164,0.07,60.437,2588.655,0.287,85.14,63.479,2.751,0,34.652,0.622,0.015,145.55
3.086,353.144,137.41,137.626,-22.921,0.058,60.009,2588.655,0.287,85.141,63.479,2.751,0,34.029,0.622,0.012,142.95
3.136,359.986,136.271,136.486,-22.67,0.04,59.583,2588.655,0.287,85.147,63.479,2.752,0,33.418,0.621,0.008,140.408
3.186,366.771,135.143,135.358,-22.417,0.082,59.159,2588.655,0.287,85.112,63.479,2.747,0,32.823,0.621,0.017,137.896
3.236,373.5,134.028,134.241,-22.201,0.049,58.739,2588.655,0.287,85.128,63.479,2.749,0,32.237,0.62,0.01,135.462
3.286,380.174,132.923,133.135,-22,0.041,58.32,2588.655,0.287,85.128,63.479,2.749,0,31.663,0.62,0.009,133.069
3.336,386.793,131.828,132.04,-21.779,0.023,57.906,2588.655,0.287,85.134,63.479,2.75,0,31.107,0.62,0.005,130.728
3.386,393.357,130.745,130.956,-21.573,0.024,57.494,2588.655,0.287,85.128,63.479,2.749,0,30.558,0.619,0.005,128.427
3.436,399.867,129.671,129.882,-21.368,0.042,57.084,2588.655,0.287,85.11,63.479,2.747,0,30.02,0.619,0.009,126.165
3.486,406.324,128.608,128.818,-21.148,0.04,56.677,2588.655,0.287,85.106,63.479,2.747,0,29.495,0.619,0.008,123.955
3.536,412.728,127.556,127.765,-20.943,0.063,56.274,2588.655,0.287,85.085,63.479,2.744,0,28.981,0.618,0.013,121.78
3.586,419.08,126.514,126.721,-20.763,0.026,55.872,2588.655,0.287,85.104,63.479,2.746,0,28.474,0.618,0.005,119.667
3.636,425.38,125.48,125.687,-20.589,0.071,55.471,2588.655,0.287,85.068,63.479,2.742,0,27.977,0.617,0.015,117.568
3.686,431.628,124.455,124.663,-20.387,0.011,55.074,2588.655,0.287,85.104,63.479,2.746,0,27.493,0.617,0.002,115.542
3.736,437.826,123.441,123.647,-20.198,0.023,54.68,2588.655,0.287,85.091,63.479,2.745,0,27.016,0.617,0.005,113.533
3.786,443.973,122.436,122.642,-20.004,0.071,54.288,2588.655,0.287,85.053,63.479,2.74,0,26.551,0.616,0.015,111.551
3.836,450.069,121.44,121.645,-19.83,0.058,53.9,2588.655,0.287,85.057,63.479,2.74,0,26.095,0.616,0.012,109.625
3.886,456.117,120.452,120.656,-19.686,0.069,53.512,2588.655,0.287,85.045,63.479,2.739,0,25.642,0.616,0.015,107.727
3.936,462.115,119.472,119.676,-19.52,0.09,53.125,2588.655,0.287,85.026,63.479,2.737,0,25.201,0.615,0.019,105.861
3.986,468.064,118.5,118.705,-19.341,0.044,52.742,2588.655,0.287,85.052,63.479,2.74,0,24.766,0.615,0.009,104.049
4.036,473.965,117.538,117.742,-19.17,0.02,52.358,2588.655,0.287,85.064,63.479,2.741,0,24.336,0.615,0.004,102.263
4.086,479.818,116.583,116.787,-18.993,0.062,51.977,2588.655,0.287,85.031,63.479,2.737,0,23.918,0.614,0.013,100.493
4.136,485.623,115.638,115.841,-18.833,0.065,51.598,2588.655,0.287,85.025,63.479,2.736,0,23.505,0.614,0.014,98.765
4.186,491.382,114.7,114.902,-18.68,0.049,51.221,2588.655,0.287,85.031,63.479,2.737,0,23.102,0.614,0.01,97.074
4.236,497.094,113.77,113.971,-18.527,0.06,50.85,2588.655,0.287,85.02,63.479,2.736,0,22.709,0.614,0.013,95.407
4.286,502.759,112.847,113.047,-18.385,0.038,50.482,2588.655,0.287,85.03,63.479,2.737,0,22.324,0.613,0.008,93.779
4.336,508.378,111.931,112.131,-18.254,0.055,50.115,2588.655,0.287,85.014,63.479,2.735,0,21.944,0.613,0.012,92.171
4.386,513.952,111.022,111.222,-18.119,0.096,49.75,2588.655,0.287,84.983,63.479,2.731,0,21.571,0.613,0.02,90.586
4.436,519.481,110.119,110.32,-17.984,0.133,49.384,2588.655,0.287,84.954,63.479,2.727,0,21.2,0.612,0.028,89.028
4.486,524.964,109.224,109.425,-17.822,0.041,49.018,2588.655,0.287,85.012,63.479,2.735,0,20.837,0.612,0.009,87.529
4.536,530.403,108.337,108.538,-17.665,0.069,48.656,2588.655,0.287,84.989,63.479,2.732,0,20.48,0.612,0.014,86.028
4.586,535.798,107.457,107.657,-17.516,0.144,48.296,2588.655,0.287,84.935,63.479,2.725,0,20.132,0.612,0.03,84.543
4.636,541.149,106.585,106.783,-17.399,0.063,47.938,2588.655,0.287,84.985,63.479,2.731,0,19.785,0.611,0.013,83.118
4.686,546.457,105.718,105.916,-17.28,0.021,47.58,2588.655,0.287,85.01,63.479,2.734,0,19.447,0.611,0.004,81.709
4.736,551.721,104.857,105.054,-17.152,0.019,47.229,2588.655,0.287,85.008,63.479,2.734,0,19.12,0.611,0.004,80.316
4.786,556.942,104.002,104.2,-17.032,0.023,46.881,2588.655,0.287,85.002,63.479,2.733,0,18.796,0.611,0.005,78.944
4.836,562.121,103.153,103.351,-16.924,0.105,46.531,2588.655,0.287,84.943,63.479,2.726,0,18.474,0.61,0.022,77.578
4.886,567.258,102.31,102.508,-16.802,0.104,46.182,2588.655,0.287,84.94,63.479,2.726,0,18.158,0.61,0.022,76.253
4.936,572.352,101.473,101.672,-16.674,0.067,45.834,2588.655,0.287,84.961,63.479,2.728,0,17.845,0.61,0.014,74.957
4.986,577.405,100.643,100.842,-16.536,0.047,45.488,2588.655,0.287,84.972,63.479,2.73,0,17.54,0.61,0.01,73.68
5.036,582.417,99.82,100.017,-16.404,0.141,45.145,2588.655,0.287,84.905,63.479,2.721,0,17.241,0.609,0.029,72.401
5.086,587.387,99.002,99.199,-16.294,0.125,44.804,2588.655,0.287,84.913,63.479,2.722,0,16.945,0.609,0.026,71.166
5.136,592.317,98.19,98.386,-16.194,0.051,44.464,2588.655,0.287,84.959,63.479,2.728,0,16.655,0.609,0.011,69.961
5.186,597.206,97.383,97.578,-16.103,0.06,44.127,2588.655,0.287,84.95,63.479,2.727,0,16.369,0.609,0.013,68.76
5.236,602.055,96.58,96.776,-16.009,0.141,43.79,2588.655,0.287,84.893,63.479,2.72,0,16.088,0.609,0.029,67.566
5.286,606.864,95.782,95.979,-15.899,0.127,43.454,2588.655,0.287,84.899,63.479,2.72,0,15.811,0.608,0.027,66.407
5.336,611.634,94.99,95.188,-15.772,0.009,43.123,2588.655,0.287,84.975,63.479,2.73,0,15.541,0.608,0.002,65.287
5.386,616.364,94.205,94.402,-15.654,0.104,42.794,2588.655,0.287,84.908,63.479,2.722,0,15.275,0.608,0.022,64.147
5.436,621.054,93.425,93.621,-15.554,0.093,42.464,2588.655,0.287,84.912,63.479,2.722,0,15.01,0.608,0.019,63.044
